Chr	Gene_l	Gene_r	Gene_type	Gene	Strand	Gene_length	Counts	RPKM	TPM
chr1	11874	14409	transcribed_pseudogene	DDX11L1	+	1652	2	0.01	0.015007529867699682
chr1	14362	29370	transcribed_pseudogene	WASH7P	-	1769	129	0.39	0.9039640121666884
chr1	17369	17436	miRNA	MIR6859-1	-	68	0	0.00	0.0
chr1	29926	31295	lncRNA	MIR1302-2HG	+	538	0	0.00	0.0
chr1	30366	30503	miRNA	MIR1302-2	+	138	0	0.00	0.0
chr1	34611	36081	lncRNA	FAM138A	-	1130	0	0.00	0.0
chr1	69091	70008	protein_coding	OR4F5	+	918	0	0.00	0.0
chr1	89006	267354	misc_RNA	LOC100996442	-	4894	52	0.06	0.13171300017928825
chr1	134773	140566	lncRNA	LOC729737	-	5474	23	0.02	0.05208495659966359
chr1	182388	184878	transcribed_pseudogene	LOC102725121	+	1607	4	0.01	0.030855556118780176
chr1	184878	199860	transcribed_pseudogene	WASH9P	-	1761	80	0.24	0.5631445619861414
chr1	187891	187958	miRNA	MIR6859-2	-	68	0	0.00	0.0
chr1	200442	203983	lncRNA	LOC107985721	+	2706	3	0.01	0.013743037328957802
chr1	350706	476822	protein_coding	LOC112268260	-	6593	4	0.00	0.007520837051854959
chr1	450740	451678	protein_coding	OR4F29	-	939	0	0.00	0.0
chr1	490756	495445	lncRNA	LOC100132287	-	4370	5	0.01	0.014183317701052559
chr1	586287	611297	protein_coding	LOC105378947	-	2343	0	0.00	0.0
chr1	627380	629009	lncRNA	LOC101928626	-	798	0	0.00	0.0
chr1	632615	632685	miRNA	MIR12136	-	71	17483	1300.75	3052.4381479323474
chr1	683910	720115	protein_coding	OR4F16	-	5780	3	0.00	0.00643402405054668
chr1	725759	730351	lncRNA	LOC100133331	-	4273	59	0.07	0.17116240593786008
chr1	732159	744785	protein_coding	LOC107984841	-	926	14	0.08	0.18741584815343315
chr1	735566	738953	lncRNA	LOC107984847	-	485	26	0.28	0.6645396112138523
chr1	739962	740334	lncRNA	LOC107984849	-	280	1	0.02	0.044272213109714055
chr1	764865	778688	lncRNA	LOC100288069	-	1371	11	0.04	0.09945909290876682
chr1	778742	809798	lncRNA	LINC01409	+	5138	31	0.03	0.07479229462676489
chr1	817371	819834	lncRNA	FAM87B	+	1944	5	0.01	0.031883281046090374
chr1	826206	827522	lncRNA	LINC00115	-	1317	153	0.61	1.4401075243888763
chr1	827591	859446	lncRNA	LINC01128	+	9233	1461	0.84	1.961537630122585
chr1	860185	868202	lncRNA	LOC107984850	+	2454	7	0.02	0.03536003981052957
chr1	868071	876802	lncRNA	FAM41C	-	1706	1	0.00	0.007266248341570889
chr1	905115	914782	lncRNA	LOC284600	+	3858	709	0.97	2.278102578159781
chr1	916818	919692	lncRNA	LINC02593	-	1506	751	2.63	6.181647392238163
chr1	921013	924937	protein_coding	LOC107985728	-	3646	2725	3.95	9.264865222905055
chr1	925731	944574	protein_coding	SAMD11	+	2557	21788	45.01	105.62723276716697
chr1	944203	959256	protein_coding	NOC2L	-	2757	27040	51.81	121.57917297652052
chr1	960103	965719	protein_coding	KLHL17	+	3277	3360	5.42	12.71019166726243
chr1	965820	975865	protein_coding	PLEKHN1	+	4005	460	0.61	1.4237855302200177
chr1	975198	982276	protein_coding	PERM1	-	3615	54	0.08	0.18517174611863807
chr1	998962	1001052	protein_coding	HES4	-	1920	9485	26.10	61.23861644623886
chr1	1013497	1014540	protein_coding	ISG15	+	637	28966	240.21	563.6874395322978
chr1	1020102	1056119	protein_coding	AGRN	+	8127	64680	42.04	98.65725215973488
chr1	1059734	1066453	lncRNA	LOC100288175	+	974	160	0.87	2.036339986976581
chr1	1065635	1068554	lncRNA	LOC105378948	-	2920	14	0.03	0.059433929928109294
chr1	1065635	1071341	protein_coding	LOC112267874	-	2703	27	0.05	0.12382461380297385
