Chr	Gene_l	Gene_r	Gene_type	Gene	Strand	Gene_length	Counts	RPKM	TPM
chr1	3102016	3102125	snRNA	LOC115487594	+	110	0	0.00	0.0
chr1	3199733	3671948	protein_coding	Xkr4	-	13657	39	0.01	0.032901451317536794
chr1	4115673	4409266	protein_coding	Rp1	-	13415	3	0.00	0.0025765367163255825
chr1	4490928	4497426	protein_coding	Sox17	-	5720	7	0.01	0.014099631721827146
chr1	4529017	4529123	snRNA	LOC115487712	+	107	2	0.09	0.21535352055768028
chr1	4547146	4609003	lncRNA	Gm37323	-	2328	0	0.00	0.0
chr1	4595057	4598251	lncRNA	Gm39586	+	602	1	0.01	0.019138560381787205
chr1	4602909	4606692	lncRNA	Gm46082	-	1551	3906	12.58	29.0152421305345
chr1	4608905	4617805	lncRNA	Gm29874	+	3138	30	0.05	0.11014735516095506
chr1	4773198	4785750	protein_coding	Mrpl15	-	7205	11226	7.78	17.951337441395943
chr1	4807823	4846735	protein_coding	Lypla1	+	2503	10200	20.35	46.95102523704601
chr1	4857694	4897909	protein_coding	Tcea1	+	2847	20044	35.16	81.1152824671973
chr1	4909573	5070299	protein_coding	Rgs20	-	2720	663	1.22	2.8083445040225
chr1	4970857	4977253	lncRNA	Gm16041	+	4158	50	0.06	0.13854513407691074
chr1	5082978	5163213	protein_coding	Atp6v1h	+	4451	11809	13.25	30.56759610159787
chr1	5588450	5606134	protein_coding	Oprk1	+	4751	2	0.00	0.004850100336702124
chr1	5913707	5917398	protein_coding	Npbwr1	-	3692	6	0.01	0.01872385701490124
chr1	6163888	6167315	lncRNA	Gm46206	-	1530	326	1.06	2.454889380422551
chr1	6209866	6216612	lncRNA	4732440D04Rik	-	5592	584	0.52	1.2032377318140492
chr1	6214634	6276375	protein_coding	Rb1cc1	+	7546	10580	7.00	16.153797143024622
chr1	6359331	6394731	protein_coding	Alkal1	+	858	1	0.01	0.013428220687454426
chr1	6487231	6860940	protein_coding	St18	+	9987	18	0.01	0.020765539230704528
chr1	7087077	7173628	protein_coding	Pcmtd1	+	7477	6568	4.39	10.12072260020358
chr1	7265803	7265932	snoRNA	LOC115485783	+	130	0	0.00	0.0
chr1	7314637	7398096	lncRNA	Gm26901	-	731	20	0.14	0.3152233474647304
chr1	8108629	8122449	lncRNA	Gm39589	-	678	3	0.02	0.05097970508776946
chr1	8359739	9301657	protein_coding	Sntg1	-	10288	9	0.00	0.010078996904016627
chr1	9437054	9438070	lncRNA	Gm30719	+	602	0	0.00	0.0
chr1	9458670	9458772	snRNA	LOC115487601	+	103	0	0.00	0.0
chr1	9545408	9547455	protein_coding	Rrs1	+	2048	8604	20.98	48.403437725580105
chr1	9547948	9577970	protein_coding	Adhfe1	+	3416	103	0.15	0.34739624561858823
chr1	9560832	9631092	lncRNA	2610203C22Rik	-	1246	204	0.82	1.8863309176296335
chr1	9601267	9627142	protein_coding	Vxn	+	3187	65	0.10	0.2349833284403305
chr1	9667407	9700439	protein_coding	Mybl1	-	7445	3188	2.14	4.933548120789368
chr1	9718622	9748382	protein_coding	Vcpip1	-	9749	8888	4.55	10.503879562349109
chr1	9747648	9771256	lncRNA	1700034P13Rik	+	1494	47	0.16	0.3624541013669928
chr1	9776236	9791319	lncRNA	Gm39590	+	3028	3	0.00	0.011414874520973478
chr1	9798130	9902570	protein_coding	Sgk3	+	5622	16	0.01	0.03278950793265285
chr1	9906157	9943606	protein_coding	Mcmdc2	+	11019	1830	0.83	1.9134391895997542
chr1	9942025	9944118	lncRNA	Snhg6	-	407	790	9.69	22.363431317863288
chr1	9942470	9942543	snoRNA	Snord87	-	74	0	0.00	0.0
chr1	9960163	9967981	protein_coding	Tcf24	-	4058	10	0.01	0.028391851527441832
chr1	9968622	10013541	protein_coding	Ppp1r42	-	6455	12	0.01	0.02141858407405589
chr1	10009814	10009917	snRNA	LOC115487608	-	104	0	0.00	0.0
chr1	10024600	10038159	protein_coding	Cops5	-	1739	15395	44.21	101.9966408974834
chr1	10038116	10136771	protein_coding	Cspp1	+	4734	2484	2.62	6.045456434514654
chr1	10137507	10232670	protein_coding	Arfgef1	-	7042	19568	13.88	32.0151968800893
chr1	10295791	10720053	protein_coding	Cpa6	-	3320	221	0.33	0.7669374549137752
chr1	10555554	10555660	snRNA	LOC115487592	-	107	0	0.00	0.0
chr1	10993273	11303683	protein_coding	Prex2	+	11437	2766	1.21	2.7864150848689424
chr1	11134111	11134238	snoRNA	LOC115487671	-	128	0	0.00	0.0
chr1	11413615	11975902	protein_coding	A830018L16Rik	+	9208	18	0.01	0.022522311066143153
chr1	11978363	11991123	lncRNA	Gm30898	+	7339	8	0.01	0.012559109796796182
chr1	12029084	12061033	lncRNA	Gm30974	-	634	0	0.00	0.0
chr1	12374936	12375042	snRNA	LOC115487708	+	107	2	0.09	0.21535352055768028
chr1	12423687	12432474	lncRNA	Gm39591	-	395	3	0.04	0.08750440518862707
