Chr	Gene_l	Gene_r	Gene_type	Gene	Strand	Gene_length	Counts	RPKM	TPM
chr1	11874	14409	transcribed_pseudogene	DDX11L1	+	1652	0	0.00	0.0
chr1	14362	29370	transcribed_pseudogene	WASH7P	-	1769	128	0.38	0.9536723940952143
chr1	17369	17436	miRNA	MIR6859-1	-	68	4	0.31	0.7752970887658245
chr1	29926	31295	lncRNA	MIR1302-2HG	+	538	0	0.00	0.0
chr1	30366	30503	miRNA	MIR1302-2	+	138	0	0.00	0.0
chr1	34611	36081	lncRNA	FAM138A	-	1130	0	0.00	0.0
chr1	69091	70008	protein_coding	OR4F5	+	918	0	0.00	0.0
chr1	89006	267354	misc_RNA	LOC100996442	-	4894	213	0.23	0.5736311316757358
chr1	134773	140566	lncRNA	LOC729737	-	5474	28	0.03	0.06741713815354997
chr1	182388	184878	transcribed_pseudogene	LOC102725121	+	1607	2	0.01	0.016403298704441835
chr1	184878	199860	transcribed_pseudogene	WASH9P	-	1761	101	0.30	0.7559256680357301
chr1	187891	187958	miRNA	MIR6859-2	-	68	0	0.00	0.0
chr1	200442	203983	lncRNA	LOC107985721	+	2706	16	0.03	0.07793082340883381
chr1	350706	476822	protein_coding	LOC112268260	-	6593	13	0.01	0.025988268863529077
chr1	450740	451678	protein_coding	OR4F29	-	939	0	0.00	0.0
chr1	490756	495445	lncRNA	LOC100132287	-	4370	12	0.01	0.03619235837716893
chr1	586287	611297	protein_coding	LOC105378947	-	2343	4	0.01	0.022501153237761872
chr1	627380	629009	lncRNA	LOC101928626	-	798	0	0.00	0.0
chr1	632615	632685	miRNA	MIR12136	-	71	24480	1790.89	4544.332907898388
chr1	683910	720115	protein_coding	OR4F16	-	5780	4	0.00	0.009121142220774406
chr1	725759	730351	lncRNA	LOC100133331	-	4273	102	0.12	0.31461857054058967
chr1	732159	744785	protein_coding	LOC107984841	-	926	36	0.20	0.5123993718409121
chr1	735566	738953	lncRNA	LOC107984847	-	485	45	0.48	1.2228912843419706
chr1	739962	740334	lncRNA	LOC107984849	-	280	94	1.74	4.424731242313527
chr1	764865	778688	lncRNA	LOC100288069	-	1371	40	0.15	0.38453830806765915
chr1	778742	809798	lncRNA	LINC01409	+	5138	47	0.05	0.12056488398674459
chr1	817371	819834	lncRNA	FAM87B	+	1944	24	0.06	0.16271667295085204
chr1	826206	827522	lncRNA	LINC00115	-	1317	1649	6.50	16.502584122530266
chr1	827591	859446	lncRNA	LINC01128	+	9233	934	0.53	1.3332792348558173
chr1	860185	868202	lncRNA	LOC107984850	+	2454	13	0.03	0.06982096846668591
chr1	868071	876802	lncRNA	FAM41C	-	1706	0	0.00	0.0
chr1	905115	914782	lncRNA	LOC284600	+	3858	1320	1.78	4.5095040621838
chr1	916818	919692	lncRNA	LINC02593	-	1506	778	2.68	6.80881759363665
chr1	921013	924937	protein_coding	LOC107985728	-	3646	1058	1.51	3.8246005042627864
chr1	925731	944574	protein_coding	SAMD11	+	2557	1945	3.95	10.025497942918259
chr1	944203	959256	protein_coding	NOC2L	-	2757	21821	41.11	104.31696850101703
chr1	960103	965719	protein_coding	KLHL17	+	3277	3382	5.36	13.60235911550269
chr1	965820	975865	protein_coding	PLEKHN1	+	4005	954	1.24	3.1395176493393615
chr1	975198	982276	protein_coding	PERM1	-	3615	105	0.15	0.3828230438304279
chr1	998962	1001052	protein_coding	HES4	-	1920	9920	26.84	68.09692762993159
chr1	1013497	1014540	protein_coding	ISG15	+	637	3034	24.74	62.775939159126686
chr1	1020102	1056119	protein_coding	AGRN	+	8127	40480	25.87	65.6488796117989
chr1	1059734	1066453	lncRNA	LOC100288175	+	974	550	2.93	7.442533654990204
chr1	1065635	1068554	lncRNA	LOC105378948	-	2920	365	0.65	1.647506313627377
chr1	1065635	1071341	protein_coding	LOC112267874	-	2703	148	0.28	0.7216601832537234
chr1	1070967	1074306	protein_coding	RNF223	-	1900	8050	22.01	55.841792946106885
chr1	1081823	1116089	protein_coding	C1orf159	-	2432	2448	5.23	13.266761367630984
chr1	1137017	1144056	lncRNA	LINC01342	+	1620	10	0.03	0.08135833647542602
chr1	1167104	1167198	miRNA	MIR200B	+	95	1	0.05	0.13873737377914752
chr1	1167863	1167952	miRNA	MIR200A	+	90	0	0.00	0.0
chr1	1169005	1169087	miRNA	MIR429	+	83	0	0.00	0.0
chr1	1173055	1179648	misc_RNA	TTLL10-AS1	-	4176	24	0.03	0.07574741671850009
chr1	1173709	1197936	protein_coding	TTLL10	+	4296	16	0.02	0.049087711392994476
chr1	1203508	1207901	protein_coding	TNFRSF18	-	2457	33	0.07	0.17702143540806983
chr1	1211326	1216812	protein_coding	TNFRSF4	-	3671	25	0.04	0.08975790322132264
chr1	1216908	1232067	protein_coding	SDF4	-	4070	30692	39.17	99.3911818729267
chr1	1232237	1235041	protein_coding	B3GALT6	+	2805	1259	2.33	5.915751725794988
chr1	1242448	1247218	protein_coding	C1QTNF12	-	1309	968	3.84	9.74659197305608
chr1	1253912	1273854	protein_coding	UBE2J2	-	4337	2401	2.88	7.296587796208131
chr1	1274002	1279447	lncRNA	LINC01786	+	1671	293	0.91	2.311044164657434
chr1	1280436	1292029	protein_coding	SCNN1D	+	3054	713	1.21	3.0770713860283427
chr1	1292384	1307930	protein_coding	ACAP3	-	6632	3858	3.02	7.667164484890737
chr1	1296110	1296170	miRNA	MIR6726	-	61	0	0.00	0.0
chr1	1304729	1304812	snoRNA	SNORD167	-	84	0	0.00	0.0
chr1	1308563	1311677	protein_coding	PUSL1	+	1412	2969	10.92	27.71357645982823
chr1	1311585	1324687	protein_coding	INTS11	-	2629	9328	18.43	46.764363312335256
chr1	1312502	1312566	miRNA	MIR6727	-	65	4	0.32	0.8110800313242472
chr1	1324757	1328896	protein_coding	CPTP	+	3041	2100	3.59	9.101646191693499
chr1	1331280	1335320	protein_coding	TAS1R3	+	3607	79	0.11	0.2886675880822019
chr1	1335278	1349418	protein_coding	DVL1	-	3343	16846	26.17	66.41673074332465
chr1	1339650	1339708	miRNA	MIR6808	-	59	23	2.02	5.137985791651482
chr1	1352689	1363541	protein_coding	MXRA8	-	4842	1006	1.08	2.7383582841951943
chr1	1373730	1375516	protein_coding	AURKAIP1	-	1484	11816	41.36	104.94304367558537
chr1	1385711	1399342	protein_coding	CCNL2	-	5817	10527	9.40	23.851880988214404
chr1	1399530	1402046	lncRNA	MRPL20-AS1	+	1748	627	1.86	4.72762681301769
chr1	1401909	1407293	protein_coding	MRPL20	-	1045	3181	15.81	40.12032599922439
chr1	1412295	1416247	lncRNA	LOC107984868	-	3854	117	0.16	0.40012088986902566
chr1	1418420	1422471	protein_coding	ANKRD65	-	3340	14	0.02	0.055245720696486894
chr1	1420245	1423287	lncRNA	LOC105378585	+	1139	2	0.01	0.02314319667957685
chr1	1426128	1427787	protein_coding	TMEM88B	+	492	8	0.08	0.21430976437429297
chr1	1430157	1434573	lncRNA	LINC01770	-	1194	10	0.04	0.11038568265510063
chr1	1433233	1435626	protein_coding	LOC107985729	+	1463	5	0.02	0.04504460187634661
chr1	1435690	1442882	protein_coding	VWA1	+	4492	22	0.03	0.06455055903793819
chr1	1449689	1470163	protein_coding	ATAD3C	+	3864	81	0.11	0.2762898786828521
chr1	1471732	1509466	protein_coding	ATAD3B	+	6268	1570	1.30	3.301320883720462
chr1	1512143	1534687	protein_coding	ATAD3A	+	2885	5605	10.09	25.60630263537317
chr1	1534778	1540624	protein_coding	TMEM240	-	1381	89	0.33	0.8494022413487998
chr1	1541673	1574863	protein_coding	SSU72	-	1284	8094	32.74	83.08358942367596
chr1	1598012	1600135	protein_coding	FNDC10	-	2124	19	0.05	0.11790064014659196
chr1	1599433	1607210	lncRNA	LOC105378586	+	572	1	0.01	0.023042046344438842
chr1	1613730	1630610	protein_coding	MIB2	+	9692	4805	2.58	6.534269778769746
chr1	1631681	1635638	protein_coding	MMP23B	+	2764	10	0.02	0.047684697934222205
chr1	1635225	1659619	protein_coding	CDK11B	-	4363	1915	2.28	5.784963723303099
chr1	1659798	1692795	protein_coding	SLC35E2B	-	6908	5245	3.94	10.00714605092715
chr1	1699939	1701808	transcribed_pseudogene	MMP23A	+	906	0	0.00	0.0
chr1	1702379	1724357	protein_coding	CDK11A	-	3050	674	1.15	2.9125750960914156
chr1	1724838	1745999	protein_coding	SLC35E2A	-	7297	2145	1.53	3.874360468938714
chr1	1745725	1751773	lncRNA	LOC112268218	+	2032	13	0.03	0.08432118928014135
chr1	1751232	1780509	protein_coding	NADK	-	5092	10884	11.10	28.17196970545227
chr1	1785285	1891117	protein_coding	GNB1	-	3494	33350	49.58	125.8027145036589
chr1	1891057	1892722	protein_coding	LOC105378949	+	1470	121	0.43	1.0848885112865991
chr1	1913751	1917296	protein_coding	CALML6	+	2245	45	0.10	0.2641880948355705
chr1	1917591	1919279	protein_coding	TMEM52	-	935	176	0.98	2.4809506840506383
chr1	1921957	2003837	protein_coding	CFAP74	-	7400	21	0.01	0.03740284603910802
chr1	1955857	1958986	lncRNA	LOC107984872	+	2799	8	0.01	0.03767074100469887
chr1	2013211	2018138	lncRNA	LOC105378589	-	4748	89	0.10	0.24705654913704558
chr1	2019345	2030758	protein_coding	GABRD	+	5126	21	0.02	0.053995524910144234
chr1	2034986	2047447	lncRNA	LOC105378590	-	2225	4	0.01	0.023694472825202727
chr1	2049201	2050070	lncRNA	LOC105378591	-	540	4	0.04	0.09763000377051125
chr1	2050411	2185399	protein_coding	PRKCZ	+	7347	1592	1.13	2.855946700742926
chr1	2181794	2183875	lncRNA	PRKCZ-AS1	-	1253	61	0.25	0.6416465132084278
chr1	2184457	2212720	protein_coding	FAAP20	-	7844	3235	2.14	5.4356786584238295
chr1	2189788	2192458	protein_coding	LOC112268219	+	2671	326	0.63	1.608647123152452
chr1	2207013	2208854	lncRNA	LOC105378593	+	1031	121	0.61	1.5468342498460728
chr1	2228319	2310213	protein_coding	SKI	+	11061	6026	2.83	7.180452433536624
chr1	2321253	2391554	protein_coding	MORN1	-	6202	1240	1.04	2.635160050174715
chr1	2350414	2352661	transcribed_pseudogene	LOC100129534	-	2248	235	0.54	1.3778077711830377
chr1	2391841	2405436	protein_coding	RER1	+	3028	11200	19.21	48.750517074310764
chr1	2404802	2412574	protein_coding	PEX10	-	2077	2588	6.47	16.42271098572037
chr1	2412481	2505532	protein_coding	PLCH2	+	7938	69	0.05	0.11456582075111012
chr1	2508537	2526622	protein_coding	PANK4	-	4482	5014	5.81	14.744483099558535
chr1	2528745	2530554	protein_coding	HES5	-	1711	25	0.08	0.19257817809788158
chr1	2549920	2557011	lncRNA	TNFRSF14-AS1	-	4619	10	0.01	0.028534424137300316
chr1	2556365	2565622	protein_coding	TNFRSF14	+	4764	38	0.04	0.10513054562189811
chr1	2566535	2584534	lncRNA	LOC100996583	+	698	1	0.01	0.018882593852462774
chr1	2586523	2591469	protein_coding	PRXL2B	+	2891	85	0.15	0.3875144563357373
chr1	2590639	2633042	protein_coding	MMEL1	-	3323	40	0.06	0.1586524286370029
chr1	2633111	2636620	lncRNA	MMEL1-AS1	+	1050	2	0.01	0.025104858112417177
chr1	2636988	2800868	protein_coding	TTC34	-	7080	31	0.02	0.05770926070333185
chr1	2700540	2702756	lncRNA	LOC105378603	-	128	0	0.00	0.0
chr1	2701377	2702276	lncRNA	LOC105378602	+	777	0	0.00	0.0
chr1	2762488	2763387	lncRNA	LOC105378601	+	777	0	0.00	0.0
chr1	2763419	2767518	lncRNA	LOC112268220	+	996	0	0.00	0.0
chr1	2764564	2765629	lncRNA	LOC107985732	+	822	0	0.00	0.0
chr1	2766073	2766972	lncRNA	LOC105378600	+	777	0	0.00	0.0
chr1	2767822	2784745	lncRNA	LOC105378598	+	4691	3	0.00	0.008428938718195918
chr1	2771826	2772891	lncRNA	LOC107984904	+	822	0	0.00	0.0
chr1	2773495	2774394	lncRNA	LOC105378599	+	777	0	0.00	0.0
chr1	3021467	3022903	protein_coding	ACTRT2	+	1437	1	0.00	0.00917192102228185
chr1	3059617	3067725	lncRNA	PRDM16-DT	-	3848	10	0.01	0.034251690512003684
chr1	3069203	3438621	protein_coding	PRDM16	+	8698	51	0.03	0.07728013060013449
chr1	3127975	3128035	miRNA	MIR4251	+	61	0	0.00	0.0
chr1	3159009	3167597	lncRNA	LOC105378606	-	6179	10	0.01	0.021330394091307683
chr1	3191945	3195519	lncRNA	LOC107984909	+	2459	3	0.01	0.016079768819461996
chr1	3210740	3214473	lncRNA	LOC105378605	-	3292	5	0.01	0.02001830271722208
chr1	3306636	3327974	lncRNA	LOC105378604	-	13518	32	0.01	0.031200001204956987
chr1	3454589	3481115	protein_coding	ARHGEF16	+	3971	3919	5.13	13.007458560777016
chr1	3487951	3624770	protein_coding	MEGF6	-	8665	8444	5.06	12.843894575667234
chr1	3546965	3550776	lncRNA	LOC105378608	+	3022	82	0.14	0.3576320786696093
chr1	3560695	3560790	miRNA	MIR551A	-	96	0	0.00	0.0
chr1	3602895	3607681	lncRNA	LOC105378607	+	990	1	0.01	0.01331318233234244
chr1	3625015	3630127	protein_coding	TPRG1L	+	2401	3950	8.55	21.683131824500258
chr1	3630767	3650103	protein_coding	WRAP73	-	1829	1156	3.28	8.330310764585011
chr1	3652516	3736201	protein_coding	TP73	+	5571	234	0.22	0.5536047063562107
chr1	3658430	3665413	lncRNA	LOC105378610	-	2164	71	0.17	0.43243234109997697
chr1	3674874	3677639	lncRNA	LOC105378609	-	709	3	0.02	0.0557689020127744
chr1	3735984	3747373	lncRNA	TP73-AS1	-	6455	3177	2.56	6.486912543323535
