Chr	Gene_l	Gene_r	Gene_type	Gene	Strand	Gene_length	Counts	RPKM	TPM
chr1	11874	14409	transcribed_pseudogene	DDX11L1	+	1652	0	0.00	0.0
chr1	14362	29370	transcribed_pseudogene	WASH7P	-	1769	127	0.40	1.0752324686090247
chr1	17369	17436	miRNA	MIR6859-1	-	68	8	0.66	1.7620067040012641
chr1	29926	31295	lncRNA	MIR1302-2HG	+	538	0	0.00	0.0
chr1	30366	30503	miRNA	MIR1302-2	+	138	0	0.00	0.0
chr1	34611	36081	lncRNA	FAM138A	-	1130	0	0.00	0.0
chr1	69091	70008	protein_coding	OR4F5	+	918	0	0.00	0.0
chr1	89006	267354	misc_RNA	LOC100996442	-	4894	337	0.39	1.0313175732757704
chr1	134773	140566	lncRNA	LOC729737	-	5474	33	0.03	0.09028916340379149
chr1	182388	184878	transcribed_pseudogene	LOC102725121	+	1607	6	0.02	0.05591931667956719
chr1	184878	199860	transcribed_pseudogene	WASH9P	-	1761	84	0.27	0.7144081695950611
chr1	187891	187958	miRNA	MIR6859-2	-	68	0	0.00	0.0
chr1	200442	203983	lncRNA	LOC107985721	+	2706	13	0.03	0.07195186282045075
chr1	350706	476822	protein_coding	LOC112268260	-	6593	14	0.01	0.03180324552952381
chr1	450740	451678	protein_coding	OR4F29	-	939	2	0.01	0.03190001487542225
chr1	490756	495445	lncRNA	LOC100132287	-	4370	8	0.01	0.02741795328880686
chr1	586287	611297	protein_coding	LOC105378947	-	2343	0	0.00	0.0
chr1	627380	629009	lncRNA	LOC101928626	-	798	0	0.00	0.0
chr1	632615	632685	miRNA	MIR12136	-	71	30579	2419.36	6450.470781888233
chr1	683910	720115	protein_coding	OR4F16	-	5780	0	0.00	0.0
chr1	725759	730351	lncRNA	LOC100133331	-	4273	200	0.26	0.7010089859120405
chr1	732159	744785	protein_coding	LOC107984841	-	926	50	0.30	0.8086963814260661
chr1	735566	738953	lncRNA	LOC107984847	-	485	46	0.53	1.4205043737412253
chr1	739962	740334	lncRNA	LOC107984849	-	280	66	1.32	3.530306289088247
